date,adjusted,volume,vix,g_trends,sentiment_negative,sentiment_neutral,sentiment_none,sentiment_positive,bull_bear_spread_surv,bullish_surv,neutral_surv,bearish_surv,basic_volatility,sma_20,sma_50,ema_20,atr,rsi,stochrsi,macd,macd_signal,bb_up,bb_dn,obv,adx
2015-01-27,13.732000350952148,41715000.0,17.219999313354492,12.0,0.0,0.0,1.0,0.0,0.0634919999999999,0.371429,0.320635,0.307937,0.3153333663940429,13.713199996948244,13.934026641845705,13.703705143993997,0.4901769331505416,47.24252951306004,0.9706949721773696,-2.533990749009818,-3.0834325973953858,15.116246576487717,12.399019937336748,4283407500.0,34.3289822653005
2015-01-28,13.291333198547363,47244000.0,20.440000534057617,12.0,0.0,0.0,1.0,0.0,0.0634919999999999,0.371429,0.320635,0.307937,0.5300006866455078,13.741700029373169,13.909146633148191,13.66443162538003,0.4930214869716106,40.97397059404828,0.6571683176399846,-2.4813971238458743,-2.9630255026854835,14.905072928578136,12.434593628733875,4236163500.0,33.70354910057158
2015-01-29,13.68000030517578,53221500.0,18.76000022888184,12.0,0.0,0.0,0.0,1.0,0.217792,0.441718,0.334356,0.223926,0.6319999694824219,13.7756667137146,13.87085329055786,13.66591435678915,0.5029485214366686,47.58057919897687,0.9876027796116222,-2.183159264444268,-2.8070522550372403,14.731330353266197,12.494802897923988,4289385000.0,33.33420455093714
2015-01-30,13.57333278656006,45105000.0,20.96999931335449,12.0,0.0,0.0,1.0,0.0,0.217792,0.441718,0.334356,0.223926,0.2980003356933594,13.81533341407776,13.830733299255373,13.65709706438638,0.4883093653121464,46.056984010575405,0.911399028723998,-1.987285098573499,-2.6430988237444923,14.520013723711443,12.580719461103008,4244280000.0,32.69592464165815
2015-02-02,14.062666893005373,62238000.0,19.43000030517578,12.0,0.0,0.0,1.0,0.0,0.217792,0.441718,0.334356,0.223926,0.5766668319702148,13.852933406829834,13.788146629333497,13.695722762350092,0.4946206129305799,53.42500219795356,1.0,-1.523795213801005,-2.419238101755795,14.394523583040346,12.650409545316588,4306518000.0,31.26505439769823
2015-02-03,14.557332992553713,72393000.0,17.329999923706055,12.0,0.0,0.0,1.0,0.0,0.217792,0.441718,0.334356,0.223926,0.6066656112670898,13.89470009803772,13.742706642150878,13.777780879512342,0.5041952780121289,59.454117226868775,1.0,-0.8564629163680948,-2.106683064678255,14.511736220352985,12.588330250746871,4378911000.0,29.417433599580832
2015-02-04,14.56999969482422,49581000.0,18.32999992370605,12.0,0.0,0.0,1.0,0.0,0.217792,0.441718,0.334356,0.223926,0.3120002746582031,13.945166778564452,13.696519985198975,13.853230290494423,0.4904670634868485,59.59834072533014,1.0,-0.3201213690253945,-1.7493707255476831,14.610259234776604,12.538273918757334,4428492000.0,27.85216187877389
2015-02-05,14.732666969299316,52843500.0,16.850000381469727,12.0,0.0,0.0,1.0,0.0,0.0307169999999999,0.354949,0.320819,0.324232,0.3893327713012695,13.99680013656616,13.651786651611328,13.93698616466632,0.4884336941798219,61.49266381583184,1.0,0.1936129551817433,-1.3607739894017978,14.743225212357084,12.47224138233896,4481335500.0,26.92392496730679
2015-02-06,14.490667343139648,48658500.0,17.290000915527344,12.0,0.0,0.0,1.0,0.0,0.0307169999999999,0.354949,0.320819,0.324232,0.4600000381469726,14.016966819763184,13.61617332458496,13.989717705473304,0.4864027187489042,57.196107454506055,0.8684000377237144,0.4535199285784497,-0.9979152058057484,14.815795048551571,12.4446049606037,4432677000.0,25.5453505309384
2015-02-09,14.498666763305664,52086000.0,18.549999237060547,12.0,0.0,0.0,1.0,0.0,0.0307169999999999,0.354949,0.320819,0.324232,0.396000862121582,14.00883345603943,13.583399982452391,14.03818904431448,0.4799454432755241,57.3023088185848,0.8386386461380783,0.6552808112728181,-0.667276002390035,14.910030986743646,12.422502372783942,4484763000.0,23.85846415677699
